Pin;Front Side;Pin;Back Side;Pin;Front Side;Pin;Back Side
  1;       GND;  2;         ;133;          ;134;
  3;  JTAG_TCK;  4;         ;135;          ;136;
  5;  JTAG_TDI;  6;         ;137;          ;138;
  7;       GND;  8;         ;139;          ;140;
  9;  JTAG_TDO; 10;         ;141;          ;142;
 11;  JTAG_TMS; 12;         ;143;          ;144;
 13;       GND; 14;         ;   ;          ;   ; 
 15;          ; 16;         ;   ;          ;   ;
 17;          ; 18;         ;145;          ;146;
 19;          ; 20;         ;147;          ;148;
 21;          ; 22;         ;149;          ;150;
 23;          ; 24;         ;151;          ;152;
 25;          ; 26;         ;153;          ;154;
 27;          ; 28;         ;155;          ;156;
 29;          ; 30;         ;157;          ;158;
 31;          ; 32;         ;159;          ;160;
 33;          ; 34;         ;161;          ;162;
 35;          ; 36;         ;163;          ;164;
 37;          ; 38;         ;165;          ;166;
 39;          ; 40;         ;167;          ;168;
 41;          ; 42;         ;169;          ;170;
 43;          ; 44;         ;171;          ;172;
 45;          ; 46;         ;173;          ;174;
 47;          ; 48;         ;175;          ;176;
 49;          ; 50;         ;177;          ;178;
 51;          ; 52;         ;179;          ;180;
 53;          ; 54;         ;181;          ;182;
 55;          ; 56;         ;183;          ;184;
 57;          ; 58;         ;185;          ;186;
 59;          ; 60;         ;187;          ;188;
 61;          ; 62;         ;189;          ;190;
 63;          ; 64;         ;191;          ;192;
 65;          ; 66;         ;193;          ;194;
 67;          ; 68;         ;195;          ;196;
 69;          ; 70;         ;197;          ;198;
 71;          ; 72;         ;199;          ;200;
 73;          ; 74;         ;201;          ;202;
 75;          ; 76;         ;203;          ;204;
 77;          ; 78;         ;205;          ;206;
 79;          ; 80;         ;207;          ;208;
 81;          ; 82;         ;209;          ;210;
 83;          ; 84;         ;211;          ;212;
 85;          ; 86;         ;213;          ;214;
 87;          ; 88;         ;215;          ;216;
 89;          ; 90;         ;217;          ;218;
 91;          ; 92;         ;219;          ;220;
 93;          ; 94;         ;221;          ;222;
 95;          ; 96;         ;223;          ;224;
 97;          ; 98;         ;225;          ;226;
 99;          ;100;         ;227;          ;228;
101;          ;102;         ;229;          ;230;
103;          ;104;         ;231;          ;232;
105;          ;106;         ;233;          ;234;
107;          ;108;         ;235;          ;236;
109;          ;110;         ;237;          ;238;
111;          ;112;         ;239;          ;240;
113;          ;114;         ;241;          ;242;
115;          ;116;         ;243;          ;244;
117;          ;118;         ;245;          ;246;
119;          ;120;         ;247;          ;248;
121;          ;122;         ;249;       GND;250;       GND
123;          ;124;         ;251;   VIN9_20;252;   VIN9_20
125;          ;126;         ;253;   VIN9_20;254;   VIN9_20
127;          ;128;         ;255;   VIN9_20;256;   VIN9_20
129;          ;130;         ;257;   VIN9_20;258;   VIN9_20
131;          ;132;         ;259;   VIN9_20;260;   VIN9_20
