Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C24","470n","C_0201_0603Metric",39.835000,-34.171800,-90.000000,bottom
"C25","470n","C_0201_0603Metric",45.035000,-37.771800,180.000000,bottom
"C26","470n","C_0201_0603Metric",45.035000,-40.571800,135.000000,bottom
"C27","470n","C_0201_0603Metric",43.035000,-34.171800,-90.000000,bottom
"C28","470n","C_0201_0603Metric",42.235000,-40.571800,90.000000,bottom
"C29","470n","C_0201_0603Metric",38.635000,-38.571800,0.000000,bottom
"C30","470n","C_0201_0603Metric",45.035000,-35.371800,180.000000,bottom
"C31","470n","C_0201_0603Metric",39.835000,-40.571800,90.000000,bottom
"C32","470n","C_0201_0603Metric",38.635000,-35.371800,0.000000,bottom
"C33","10u","C_0603_1608Metric",39.039000,-45.801600,-90.000000,bottom
"C34","10u","C_0603_1608Metric",45.439800,-45.802200,-90.000000,bottom
"C35","10u","C_0603_1608Metric",43.026800,-45.801600,-90.000000,bottom
"C36","100n","C_0201_0603Metric",46.635000,-34.571800,180.000000,bottom
"C37","470n","C_0201_0603Metric",37.035000,-40.171800,0.000000,bottom
"C38","1u","C_0402_1005Metric",48.335000,-33.501800,90.000000,bottom
"C39","100n","C_0201_0603Metric",44.635000,-34.171800,-90.000000,bottom
"C40","100n","C_0201_0603Metric",45.035000,-36.171800,180.000000,bottom
"C41","100n","C_0201_0603Metric",45.035000,-39.371800,180.000000,bottom
"C42","100n","C_0201_0603Metric",41.435000,-34.171800,-90.000000,bottom
"C43","100n","C_0201_0603Metric",43.835000,-40.571800,90.000000,bottom
"C44","100n","C_0201_0603Metric",40.635000,-40.571800,90.000000,bottom
"C45","100n","C_0201_0603Metric",38.635000,-34.171800,-45.000000,bottom
"C46","100n","C_0201_0603Metric",38.635000,-40.171800,0.000000,bottom
"C47","100n","C_0201_0603Metric",38.635000,-36.971800,0.000000,bottom
"C48","10n","C_0201_0603Metric",40.635000,-34.171800,-90.000000,bottom
"C49","10n","C_0201_0603Metric",42.235000,-34.171800,-90.000000,bottom
"C50","100n","C_0201_0603Metric",38.235000,-32.571800,-90.000000,bottom
"C51","100n","C_0201_0603Metric",41.435000,-32.571800,-90.000000,bottom
"C52","470n","C_0201_0603Metric",39.835000,-32.571800,-90.000000,bottom
"C53","470n","C_0201_0603Metric",40.635000,-32.571800,-90.000000,bottom
"C54","10n","C_0201_0603Metric",43.835000,-34.171800,-90.000000,bottom
"C55","10n","C_0201_0603Metric",43.035000,-40.571800,90.000000,bottom
"C56","100n","C_0201_0603Metric",45.435000,-32.571800,-90.000000,bottom
"C57","100n","C_0201_0603Metric",42.235000,-32.571800,-90.000000,bottom
"C58","470n","C_0201_0603Metric",43.835000,-32.571800,-90.000000,bottom
"C59","470n","C_0201_0603Metric",43.035000,-32.571800,-90.000000,bottom
"C60","10n","C_0201_0603Metric",45.035000,-38.571800,180.000000,bottom
"C61","10n","C_0201_0603Metric",38.640000,-36.171800,0.000000,bottom
"C62","100n","C_0201_0603Metric",46.635000,-33.771800,180.000000,bottom
"C63","100n","C_0201_0603Metric",46.635000,-36.971800,180.000000,bottom
"C64","470n","C_0201_0603Metric",46.635000,-35.371800,180.000000,bottom
"C65","470n","C_0201_0603Metric",46.635000,-36.171800,180.000000,bottom
"C66","10n","C_0201_0603Metric",45.035000,-36.971800,180.000000,bottom
"C67","10n","C_0201_0603Metric",41.435000,-40.571800,90.000000,bottom
"C68","100n","C_0201_0603Metric",46.635000,-37.771800,180.000000,bottom
"C69","100n","C_0201_0603Metric",46.635000,-40.971800,180.000000,bottom
"C70","470n","C_0201_0603Metric",46.635000,-38.571800,180.000000,bottom
"C71","470n","C_0201_0603Metric",46.635000,-39.371800,180.000000,bottom
"C72","10n","C_0201_0603Metric",38.635000,-39.371800,0.000000,bottom
"C73","10n","C_0201_0603Metric",38.635000,-37.771800,0.000000,bottom
"C74","100n","C_0201_0603Metric",37.035000,-40.971800,0.000000,bottom
"C75","100n","C_0201_0603Metric",37.035000,-37.771800,0.000000,bottom
"C76","470n","C_0201_0603Metric",37.035000,-38.571800,0.000000,bottom
"C77","470n","C_0201_0603Metric",37.035000,-39.371800,0.000000,bottom
"C78","470n","C_0201_0603Metric",39.035000,-32.571800,-90.000000,bottom
"C79","470n","C_0201_0603Metric",44.635000,-32.571800,-90.000000,bottom
"C80","100n","C_0201_0603Metric",37.035000,-33.771800,0.000000,bottom
"C81","100n","C_0201_0603Metric",37.035000,-36.971800,0.000000,bottom
"C82","470n","C_0201_0603Metric",37.035000,-35.371800,0.000000,bottom
"C83","470n","C_0201_0603Metric",37.035000,-36.171800,0.000000,bottom
"C84","470n","C_0201_0603Metric",36.235000,-42.571800,180.000000,bottom
"C85","100n","C_0201_0603Metric",37.035000,-41.771800,0.000000,bottom
"C86","470n","C_0201_0603Metric",46.635000,-40.171800,180.000000,bottom
"C90","470n","C_0201_0603Metric",50.490000,-16.739300,90.000000,bottom
"C92","10n","C_0201_0603Metric",54.740000,-16.739300,-90.000000,bottom
"C94","10n","C_0201_0603Metric",28.790000,-19.845000,180.000000,bottom
"C95","10n","C_0201_0603Metric",35.840000,-19.845000,0.000000,bottom
"C96","100n","C_0201_0603Metric",32.715000,-18.245000,0.000000,bottom
"C98","10n","C_0201_0603Metric",39.090000,-19.845000,180.000000,bottom
"C101","100n","C_0201_0603Metric",33.915000,-17.925000,90.000000,bottom
"C102","100n","C_0201_0603Metric",35.115000,-18.245000,180.000000,bottom
"C103","100n","C_0201_0603Metric",32.715000,-15.045000,180.000000,bottom
"C104","100n","C_0201_0603Metric",35.090000,-15.045000,0.000000,bottom
"C105","100n","C_0201_0603Metric",18.261800,-29.533200,180.000000,bottom
"C106","100n","C_0201_0603Metric",21.305000,-30.271800,0.000000,bottom
"C107","100n","C_0201_0603Metric",15.065000,-36.671800,180.000000,bottom
"C108","100n","C_0201_0603Metric",23.704800,-37.130000,0.000000,bottom
"C111","100n","C_0201_0603Metric",17.385000,-31.471800,45.000000,bottom
"C112","100n","C_0201_0603Metric",15.065000,-30.271800,180.000000,bottom
"C113","100n","C_0201_0603Metric",17.385000,-36.271800,45.000000,bottom
"C114","100n","C_0201_0603Metric",16.585000,-35.471800,-135.000000,bottom
"C115","100n","C_0201_0603Metric",16.985000,-29.951800,90.000000,bottom
"C119","100n","C_0201_0603Metric",18.910000,-36.671800,0.000000,bottom
"C120","10n","C_0201_0603Metric",46.140000,-19.845000,0.000000,bottom
"C122","100n","C_0201_0603Metric",43.015000,-18.245000,0.000000,bottom
"C123","100n","C_0201_0603Metric",19.365000,-19.920000,180.000000,bottom
"C126","100n","C_0201_0603Metric",18.960000,-20.920000,180.000000,bottom
"C128","100n","C_0201_0603Metric",22.710000,-21.095000,-90.000000,bottom
"C129","470n","C_0201_0603Metric",47.435000,-42.571800,0.000000,bottom
"C130","100n","C_0201_0603Metric",46.635000,-41.771800,180.000000,bottom
"C131","100n","C_0201_0603Metric",39.035000,-41.371800,-90.000000,bottom
"C132","100n","C_0201_0603Metric",37.035000,-34.571800,0.000000,bottom
"C133","100n","C_0201_0603Metric",37.785000,-42.571800,0.000000,bottom
"C134","100n","C_0201_0603Metric",45.835000,-42.571800,180.000000,bottom
"C135","470n","C_0201_0603Metric",38.235000,-41.371800,-90.000000,bottom
"C136","1u","C_0402_1005Metric",42.335000,-43.300000,90.000000,bottom
"C137","1u","C_0402_1005Metric",41.415000,-43.300000,90.000000,bottom
"C142","100n","C_0201_0603Metric",44.215000,-17.925000,90.000000,bottom
"C143","10n","C_0201_0603Metric",45.415000,-18.245000,180.000000,bottom
"C144","10n","C_0201_0603Metric",43.015000,-15.045000,180.000000,bottom
"C145","10n","C_0201_0603Metric",45.390000,-15.045000,0.000000,bottom
"C150","10n","C_0201_0603Metric",18.185000,-18.740000,-90.000000,bottom
"C152","10n","C_0201_0603Metric",21.040000,-15.345000,180.000000,bottom
"C157","1u","C_0402_1005Metric",44.665000,-43.300000,90.000000,bottom
